no-framework: 1994.65:   388888: 0.0008009: 1
AltoRouter: 68.69:   432088: 0.0009622: 2
FastRoute: 38.27:   537760: 0.0022756: 15
fatfree: 1115.54:  1454400: 0.0031714: 2
flight: 746.61:   657376: 0.0027765: 15
klein.php: 0.20:   772464: 0.0046766: 20
limonade: 118.68:   988536: 0.0024484: 2
lumen: 60.61:  3022432: 0.0117999: 50
PHP-Router: 1458.65:   496008: 0.0016767: 8
siler-1.3: 198.54:   801984: 0.0032704: 22
Slim-3.x: 0.19:  1367280: 0.0069589: 56
tipsy: 123.81:   640480: 0.0028217: 16
bearframework: 37.63:  1143880: 0.0044741: 25
